ÎÂ¶È£¨¡æ£©,Ñ¹Á¦£¨MPa£©,±öºº,,ÃÝÂÉ,,¿¨É­,,ºÕ°Í,,
42.7,30.9,2.893,0.084,0.701,0.584,0.677,0.071,1.28,0.881,0.188
50.3,30.2,3.263,0.063,0.691,0.492,0.695,0.053,0.887,0.833,0.202
60.9,30.4,2.738,0.049,0.679,0.42,0.606,0.041,0.778,0.827,0.165
71.3,30.6,2.256,0.039,0.678,0.339,0.495,0.033,0.614,0.82,0.137
81.2,30.7,1.847,0.033,0.691,0.266,0.383,0.028,0.459,0.821,0.116
58.4,60.6,3.337,0.086,0.675,0.705,0.848,0.071,1.831,0.922,0.148
71.7,60.4,2.712,0.061,0.664,0.548,0.699,0.05,1.374,0.904,0.12
80.8,61.1,2.515,0.049,0.684,0.396,0.547,0.041,0.825,0.853,0.136
89.6,60.2,1.916,0.043,0.701,0.309,0.392,0.037,0.694,0.88,0.099
99.7,60,1.2,0.038,0.76,0.18,0.179,0.034,0.403,0.911,0.07
68,80.8,3.544,0.076,0.63,0.839,1.086,0.06,2.037,0.89,0.161
80.6,81,3.321,0.053,0.623,0.645,0.945,0.042,1.394,0.84,0.162
93.9,80.8,2.537,0.045,0.62,0.542,0.751,0.035,1.297,0.876,0.106
97.9,80.2,2.09,0.04,0.667,0.362,0.487,0.034,0.826,0.868,0.101
111.6,80.2,1.265,0.034,0.714,0.22,0.248,0.03,0.541,0.911,0.063
103.1,100.1,1.917,0.052,0.734,0.295,0.325,0.045,0.689,0.906,0.1
107.4,100.1,1.39,0.051,0.776,0.219,0.197,0.046,0.509,0.929,0.083
118.8,100.8,1.169,0.044,0.786,0.177,0.152,0.04,0.385,0.922,0.075
131.1,100.5,1.192,0.037,0.74,0.198,0.203,0.032,0.479,0.918,0.064
140,101.3,0.951,0.033,0.768,0.149,0.14,0.03,0.338,0.919,0.058
113.6,120.7,1.91,0.046,0.7,0.327,0.393,0.039,0.78,0.895,0.095
121.2,120.8,1.767,0.042,0.661,0.38,0.459,0.035,1.018,0.934,0.068
128.2,120.9,1.448,0.038,0.701,0.268,0.307,0.033,0.673,0.913,0.07
137.1,121.4,1.479,0.034,0.671,0.291,0.356,0.028,0.74,0.908,0.064
147.2,120.6,1.19,0.031,0.69,0.23,0.268,0.026,0.591,0.918,0.054
121.4,140.3,1.465,0.055,0.808,0.195,0.168,0.051,0.37,0.921,0.097
136.8,140.3,1.391,0.044,0.775,0.192,0.196,0.039,0.356,0.893,0.092
141.2,140.3,1.314,0.04,0.752,0.202,0.211,0.035,0.446,0.907,0.077
149.6,140,1.298,0.035,0.727,0.212,0.241,0.031,0.477,0.897,0.073
159.8,140.3,1.099,0.032,0.706,0.215,0.24,0.027,0.54,0.92,0.056
